Extract_ID,Depository_ID,Dog/Wolf Status,Country,Site name,"Analysed
Nuclear","mtDNA 
Analysed",mtDNA capture,Extraction_lab,Lat,Long,Radiocarbon Lab #,Direct date?,"Radiocarbon date 
 (95.4% interval, lab number)","Age 
(from context)","Number 
of reads","Endogeneous
 Content","Nuclear
Coverage",Sex,"mtDNA 
Coverage",N_SNP_call
JBG43,11S1232 I15 PP4747-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,670175,64.4883799,NA,NA,193.1227955,NA
JBG41,11S1232 7892-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,164370,37.65833181,NA,NA,168.990614,NA
JBG17,11S1232 2601-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,41931,79.16338747,NA,NA,165.3036408,NA
JBG11,11S1232 1671-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,130420,53.77932832,NA,NA,162.6978538,NA
JBG42,11S1232 F9 PP4407-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,152682,60.71639093,NA,NA,158.2733903,NA
JBG13,11S1232 939-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,114795,45.01241343,NA,NA,157.7362348,NA
JBG45,11S1232 L17 P 2-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,73704,56.19098014,NA,NA,154.8202905,NA
JBG24,11S1232 2793-2,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,54470,71.94969708,NA,NA,154.409398,NA
JBG12,11S1232 845-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,185720,34.4432479,NA,NA,153.6255156,NA
JBG48,11S1232 3993-2,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,65927,51.99690567,NA,NA,149.6821905,NA
CGG7,Zh-90-3,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,MAMS-24240,direct date,9015-9255 cal BP,7900-9000 BP,138160,59.1806601,NA,NA,145.7030549,NA
JBG32,11S1232 5819-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,54179,71.94484948,NA,NA,140.0304896,NA
JBG26,11S1232 5267-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,43857,71.20414073,NA,NA,137.4965027,NA
JBG19,11S1232 1724-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,83483,44.75282393,NA,NA,129.5464817,NA
